,timestamp,realized,realized_percent,prev_side,desired_side,hold_bars,order_price
152,1555365600000000000,10.72850012669679,-0.0,-1.0,1,17.0,5027.0
153,1555448400000000000,12.354864963909453,0.0,1.0,-1,23.0,5151.8
154,1556258400000000000,-11.719395436994288,-0.0,-1.0,1,225.0,5271.01
155,1556679600000000000,6.080330996607549,0.0,1.0,-1,117.0,5336.37
156,1558087200000000000,-170.89856691701428,-0.0,-1.0,1,391.0,7161.12
157,1558267200000000000,28.22361514106267,0.0,1.0,-1,50.0,7792.16
158,1558605600000000000,10.30642683849036,-0.0,-1.0,1,94.0,7570.0
159,1558656000000000000,11.428909594407846,0.0,1.0,-1,14.0,7804.86
160,1559278800000000000,-15.098724832695964,-0.0,-1.0,1,173.0,8117.98
161,1559386800000000000,17.81849312479905,0.0,1.0,-1,30.0,8522.85
162,1559401200000000000,2.153994884516594,-0.0,-1.0,1,4.0,8474.14
163,1559473200000000000,9.864546421833918,0.0,1.0,-1,20.0,8695.01
164,1559570400000000000,15.115607566309286,-0.0,-1.0,1,27.0,8354.41
165,1560196800000000000,-22.785150020571646,0.0,1.0,-1,174.0,7875.56
166,1560301200000000000,3.352264246674632,-0.0,-1.0,1,29.0,7805.94
167,1560304800000000000,0.6843472805742475,0.0,1.0,-1,1.0,7819.99
168,1561687200000000000,-164.2951406100838,-0.0,-1.0,1,384.0,11207.19
169,1561726800000000000,8.295642040824747,0.0,1.0,-1,11.0,11667.51
170,1561910400000000000,13.500038867847799,-0.0,-1.0,1,51.0,10961.19
171,1562180400000000000,4.462452172349877,0.0,1.0,-1,75.0,11172.03
172,1562324400000000000,-0.062935251608142,-0.0,-1.0,1,40.0,11175.0
173,1562378400000000000,2.462058550887909,0.0,1.0,-1,15.0,11290.01
174,1562835600000000000,-1.8310063232186455,-0.0,-1.0,1,127.0,11375.77
175,1563512400000000000,-20.69158192356741,0.0,1.0,-1,188.0,10389.95
176,1563865200000000000,7.769662468901358,-0.0,-1.0,1,98.0,10020.0
177,1564570800000000000,-6.265757378671478,0.0,1.0,-1,196.0,9741.59
178,1565460000000000000,-35.69032352379475,-0.0,-1.0,1,247.0,11334.1
179,1566205200000000000,-11.184817780484558,0.0,1.0,-1,207.0,10640.57
180,1566392400000000000,11.320789788654837,-0.0,-1.0,1,52.0,9935.07
181,1566612000000000000,6.991800775286722,0.0,1.0,-1,61.0,10317.97
182,1566637200000000000,7.391487338719262,-0.0,-1.0,1,7.0,9914.07
183,1566813600000000000,7.995264180698923,0.0,1.0,-1,49.0,10326.7
184,1566946800000000000,3.592663938528257,-0.0,-1.0,1,37.0,10143.51
185,1567422000000000000,-7.393288164984562,0.0,1.0,-1,132.0,9779.98
186,1567962000000000000,-11.64940203100162,-0.0,-1.0,1,150.0,10355.59
187,1568332800000000000,0.26825513597157424,0.0,1.0,-1,103.0,10370.54
188,1568664000000000000,4.481867345074863,-0.0,-1.0,1,92.0,10120.24
189,1569891600000000000,-36.45305327331145,0.0,1.0,-1,341.0,8178.5
190,1570150800000000000,2.215405022511488,-0.0,-1.0,1,72.0,8060.47
191,1570492800000000000,2.59038128325805,0.0,1.0,-1,95.0,8195.61
192,1571022000000000000,-1.6836719269449214,-0.0,-1.0,1,147.0,8283.4
193,1571616000000000000,-1.6243126847178961,0.0,1.0,-1,165.0,8196.84
194,1571817600000000000,4.646890049533153,-0.0,-1.0,1,56.0,7947.81
195,1572040800000000000,12.102250463651863,0.0,1.0,-1,62.0,8558.07
196,1572523200000000000,-11.266388831363598,-0.0,-1.0,1,134.0,9126.05
197,1572724800000000000,2.758776242901502,0.0,1.0,-1,56.0,9284.06
198,1572800400000000000,2.8512013205476623,-0.0,-1.0,1,21.0,9118.77
199,1572886800000000000,3.1763195678928913,0.0,1.0,-1,24.0,9297.12
200,1573138800000000000,1.9688567896481866,-0.0,-1.0,1,70.0,9186.5
201,1574888400000000000,-31.082880939951565,0.0,1.0,-1,486.0,7480.28
202,1575205200000000000,2.238732655693262,-0.0,-1.0,1,88.0,7358.08
203,1575597600000000000,0.32897672591462995,0.0,1.0,-1,109.0,7375.53
204,1575946800000000000,0.2726999137341231,-0.0,-1.0,1,97.0,7360.93
205,1576735200000000000,-4.344570065752452,0.0,1.0,-1,219.0,7129.05
206,1577253600000000000,-1.7633043785648381,-0.0,-1.0,1,144.0,7223.52
207,1577530800000000000,1.126451737186519,0.0,1.0,-1,77.0,7285.52
208,1577761200000000000,1.0834322252088797,-0.0,-1.0,1,64.0,7225.91
209,1578078000000000000,1.2451039012436793,0.0,1.0,-1,88.0,7293.57
210,1579474800000000000,-24.789777304246744,-0.0,-1.0,1,388.0,8635.04
211,1580083200000000000,-0.2238510688980501,0.0,1.0,-1,169.0,8617.56
212,1580760000000000000,-8.574012463689385,-0.0,-1.0,1,188.0,9302.85
213,1580925600000000000,2.790481571300978,0.0,1.0,-1,46.0,9563.01
214,1581415200000000000,-2.1435465812735797,-0.0,-1.0,1,136.0,9764.21
215,1581444000000000000,4.3978320544760265,0.0,1.0,-1,8.0,10194.08
216,1581796800000000000,3.203687337227637,-0.0,-1.0,1,98.0,9881.04
217,1582088400000000000,2.2635017134287896,0.0,1.0,-1,81.0,10090.13
218,1582164000000000000,6.279667034531854,-0.0,-1.0,1,21.0,9509.64
219,1582448400000000000,4.356012907788613,0.0,1.0,-1,79.0,9872.2
220,1582560000000000000,2.6840794042799954,-0.0,-1.0,1,31.0,9650.0
221,1583186400000000000,-9.297124861995444,0.0,1.0,-1,174.0,8910.84
222,1583643600000000000,2.4283491259201253,-0.0,-1.0,1,127.0,8717.47
223,1584576000000000000,-44.264801032541385,0.0,1.0,-1,259.0,5343.46
224,1585378800000000000,-10.76602329898757,-0.0,-1.0,1,223.0,6168.23
225,1585638000000000000,2.5201217527902977,0.0,1.0,-1,72.0,6428.79
226,1585731600000000000,1.5851990721338993,-0.0,-1.0,1,26.0,6262.03
227,1585800000000000000,3.2880594663441314,0.0,1.0,-1,19.0,6590.72
228,1586523600000000000,-2.3786816527792016,-0.0,-1.0,1,201.0,6828.29
229,1587056400000000000,1.4840961243487605,0.0,1.0,-1,148.0,6989.2
230,1587420000000000000,1.3366805803198492,-0.0,-1.0,1,101.0,6844.78
231,1587596400000000000,2.4813631612251643,0.0,1.0,-1,49.0,7101.0
232,1589090400000000000,-14.195424037091705,-0.0,-1.0,1,415.0,8575.88
233,1589418000000000000,4.399109651196078,0.0,1.0,-1,91.0,9270.62
234,1590022800000000000,-1.5379594592212398,-0.0,-1.0,1,168.0,9514.12
235,1590606000000000000,-2.232308695993426,0.0,1.0,-1,162.0,9141.34
236,1591160400000000000,-1.7448589682026963,-0.0,-1.0,1,154.0,9433.86
237,1591228800000000000,1.0035057433851151,0.0,1.0,-1,19.0,9614.95
238,1591430400000000000,0.17043771182387457,-0.0,-1.0,1,56.0,9584.24
239,1591603200000000000,0.44658458462953077,0.0,1.0,-1,48.0,9664.36
240,1591898400000000000,2.0922194773181464,-0.0,-1.0,1,82.0,9291.0
241,1592308800000000000,1.2056721119047102,0.0,1.0,-1,114.0,9489.44
242,1592524800000000000,0.8785383718327866,-0.0,-1.0,1,60.0,9343.04
243,1592830800000000000,0.6894552305883835,0.0,1.0,-1,85.0,9455.01
244,1593028800000000000,1.0070131382384793,-0.0,-1.0,1,55.0,9291.52
245,1593518400000000000,-1.1203875566094463,0.0,1.0,-1,136.0,9115.5
